,Datetime,Tags,Like_Count,Location,User_Name,URL,Location_URL
51,2019년 12월 21일,"['#카페', '#데일리', '#일상', '#디저트', '#치즈케이크', '#카페스타그램', '#전포', '#전포카페', '#소통', '#인친', '#팔로우', '#맞팔', '#서면', '#셀피', '#여유', '#주말', '#딸기케이크', '#daily', '#selfie', '#selstagram', '#instadaily', '#instamood']",56,카페룽고,ppeach_j,https://www.instagram.com/p/B6VaTPBFJyv/,https://www.instagram.com/explore/locations/1251595208222765/
52,2019년 12월 29일,"['#서울중곡동카페', '#중곡디저트', '#바이레인', '#byrain', '#톰과제리', '#치즈케이크']",16,Byrain,tag1787,https://www.instagram.com/p/B6pMoqClJ7Y/,https://www.instagram.com/explore/locations/112746282691140/byrain/
53,2019년 12월 29일,"['#월간상회', '#12월의월간이들', '#딸기케이크', '#딸기치즈케이크', '#초코케이크', '#무스케이크', '#치즈케이크', '#서울카페', '#디저트카페', '#낙성대카페', '#낙성대역카페', '#샤로수길카페', '#서울대입구카페', '#샤로수길', '#서울대입구', '#디저트', '#dessert', '#맞팔', '#선팔', '#팔로워', '#팔로우', '#좋아요']",114,월간상회 月刊商會,cafemonthly,https://www.instagram.com/p/B6o5e2DpjVJ/,https://www.instagram.com/explore/locations/105121864227110/
54,2019년 12월 27일,"['#leeneats', '#localeats', '#eatlocal', '#foodstagram', '#foodie', '#foodporn', '#dessertsofinstagram', '#cheesecake', '#tiramisu', '#맛스타그램', '#맛집', '#잘먹었습니다', '#맛있다', '#카페', '#우리동네', '#치즈케이크', '#티라미수', '#후식', '#디저트', '#예쁘다', '#인스타그램']",10,RT Pastry House Sdn. Bhd.,leen.3ats,https://www.instagram.com/p/B6kqH2eJtET/,https://www.instagram.com/explore/locations/437885086974402/rt-pastry-house-sdn-bhd/
55,2019년 12월 21일,"['#구미', '#신평', '#담담살롱', '#딸기크림라떼', '#캬라멜마끼아또', '#치즈케이크', '#갬성카페', '#또놀러와', '#담에올땐']",24,담담살롱,16.5_m_,https://www.instagram.com/p/B6UubOmluSw/,https://www.instagram.com/explore/locations/1019406330/
56,2019년 12월 22일,"['#부지런한', '#주말', '#집구경', '#카페에서', '#당충전', '#카페스타그램', '#마이커피', '#톰과제리', '#톰과제리케이크', '#치즈케이크', '#잘먹었습니다', '#좋아요']",48,마이커피 당산,_sseul0324,https://www.instagram.com/p/B6XSKJhHGsC/,https://www.instagram.com/explore/locations/244814876199500/
57,2019년 12월 27일,"['#마틴커피로스터스', '#서면카페', '#전포카페', '#블루마틴', '#블랙마틴', '#치즈케이크']",40,Matin coffee roasters,0_412_s,https://www.instagram.com/p/B6i1-2Yl_dZ/,https://www.instagram.com/explore/locations/492292414442684/matin-coffee-roasters/
58,2019년 12월 27일,"['#자취남요리', '#티본스테이크맛집', '#우리집', '#한우원쁠', '#비싸니까맛있지', '#미디엄레어가진리', '#후식도야무지게', '#옐로팩토리', '#치즈케이크']",4,부평어딘가,ysh2002kra1,https://www.instagram.com/p/B6k1JDnpR8G/,https://www.instagram.com/explore/locations/355676654952693/
59,2019년 12월 20일,"['#객리단길', '#객리단길카페']",37,카페나잇나잇,jjy.v_v,https://www.instagram.com/p/B6R4NFFADiQ/,https://www.instagram.com/explore/locations/200883520637494/
60,2019년 12월 26일,[],60,BORIS 보리스,boris_cafe_bar,https://www.instagram.com/p/B6iJ7UuJ2LC/,https://www.instagram.com/explore/locations/325180944913887/boris/
