,count,word
779,10,#딸기치즈케이크
780,2,#크루아상
781,4,#딸기크루아상
782,2,#클래식스콘
783,6,#앙버터스콘
784,2,#무화과스콘
785,2,#카야치즈스콘
786,2,#허니버터스콘
787,8,#향리단커피
788,3,#파리바게뜨
789,10,#빵순이
790,1,#가만안둬
791,1,#안기안
792,7,#쎄지엠라떼
793,7,#쎄지엠프라페
794,7,#시그니처
795,5,#쇼콜라플라워컵케잌
796,5,#컵케잌
797,7,#플레르카페쎄지엠
798,7,#린보공방
799,7,#카페쎄지엠
800,7,#해운대달맞이
801,9,#해운대달맞이카페
802,8,#브런치카페
803,7,#해운대브런치카페
804,8,#brunch
805,7,#fleurcafeseizieme
806,8,#brunchcafe
807,7,#flowercafe
808,9,#목포카페
809,1,#닻
810,20,#에그타르트
811,1,#191221
812,9,#쿠오레에스프레소
813,1,#산타시바
814,1,#수제케이크맛집
815,2,#딸기케이크맛집
816,7,#오오티디
817,2,#연말룩
818,12,#연말파티
819,1,#연말파티음식
820,1,#연말파티대관
821,1,#커피그램
822,1,#루프테라스
823,13,#ootd
824,1,#cakedecoration
825,1,#cakestagram
826,1,#디져트그램
827,2,#오늘도먹방
828,3,#먹방스타그램
829,1,#먹방bj
830,4,#도쿄카페
831,3,#도쿄맛집
832,1,#니시오기쿠보
833,1,#yumstagram
834,10,#cafestagram
835,3,#instacafe
836,1,#dayoff
837,1,#mydaily
838,4,#화정카페
839,4,#카페나랑
840,4,#화정
841,6,#일산
842,4,#행신
843,10,#동네카페
844,4,#명지병원
845,4,#덕양구청
846,27,#데이트
847,7,#갬성
848,4,#스타필드고양
849,4,#이케아고양점
850,1,#딥초코우유
851,2,#스폰타니티
852,26,#선팔
853,7,#인친
854,16,#f4f
855,3,#소통해요
856,2,#좋은사람
857,1,#좋은데이
858,2,#안락동
859,1,#대박
860,4,#광안리
861,1,#세번째서랍
862,1,#최고다
863,1,#케이크순수
864,1,#치즈수플레
865,1,#진한치즈
866,1,#용인케이크맛집
867,1,#크리스마스초코케이크
868,1,#동백역맛집
869,1,#신동백케이크맛집
870,4,#오늘
871,1,#라쁘띠메종
872,1,#용산케이크
873,1,#삼각지케이크
874,2,#lapetitemaison
875,1,#신용산케이크
876,10,#전주
877,2,#호주
878,5,#한국
879,1,#언니
880,2,#동영커피
881,1,#인기
882,1,#피드채우기
883,1,#20살
884,1,#00년생
885,1,#초록니트
886,1,#하루일기
887,1,#오늘도스칼렛
888,2,#사랑
889,1,#미연
890,3,#압구정맛집
891,1,#끼리치즈케이크
892,1,#맛집투어당
893,3,#빅토리아케이크
894,1,#죽동
895,2,#죽동맛집
896,2,#충남대
897,1,#충남대맛집
898,4,#샐러드
899,1,#살치살
900,1,#마르게리타
901,1,#해산물파스타
902,1,#타볼라타
903,14,#대전맛집
904,2,#대전
905,1,#대전레스토랑
906,1,#충남대학교
907,1,#죽동레스토랑
908,1,#궁동
909,1,#분위기좋은레스토랑
910,3,#파스타맛집
911,1,#둔산동
912,1,#봉명동
913,4,#2019년
914,1,#마지막주말
915,1,#삼청동
916,2,#북촌
917,1,#재즈바
918,1,#라끌레
919,1,#여친소원들어주기
920,1,#분위기굿
921,1,#칵테일에
922,1,#남도분식
923,1,#남도분식북촌점
924,1,#짜장떡볶이
925,1,#김밥쌈
926,2,#맛있당
927,1,#아티장크로와상
928,1,#빵까지야무지게흡입
929,1,#행복한연말
930,3,#아이파베스
931,1,#텀블러
932,1,#카페텀블러
933,1,#cafetumbler
934,1,#봉봉그램
935,1,#카페베아또
936,1,#경주카페
937,1,#노동동카페
938,1,#경주시내카페
939,2,#두번째골목
940,5,#진주카페
941,3,#진주맛집
942,2,#하대동카페추천
943,2,#하대동카페
944,2,#진주커피숍
945,3,#진주
946,2,#진주좌식카페
947,3,#좌식카페
948,2,#진주룸카페
949,2,#카페오픈
950,12,#카페탐방
951,2,#진주데이트
952,2,#진주혁신도시
953,3,#진주혁신도시카페
954,2,#단호박치즈타르트
955,8,#목포다쿠아즈
956,8,#스페셜카페
957,8,#북항카페
958,8,#남악카페
959,8,#spatialcafe
960,8,#목포스페셜티커피
961,8,#콜드슈페너
962,8,#북항카페추천
